text,sentiment
The nurses were incredibly kind and attentive throughout my stay.,positive
Doctors always explained everything clearly and listened carefully.,positive
Staff were rude and dismissive when I asked questions.,negative
"The room was clean and comfortable, I felt very well cared for.",positive
My discharge instructions were thorough and easy to understand.,positive
Nobody came when I pressed the call button for over an hour.,negative
The hospital food was surprisingly good and served on time.,positive
I had to repeat my medical history to five different people.,negative
The surgeon was excellent and the procedure went smoothly.,positive
Waiting time in the ER was unreasonably long with no updates.,negative
Night staff were quiet and respectful of patients trying to sleep.,positive
"I was given the wrong medication at first, very concerning.",negative
Communication between the care team was excellent and reassuring.,positive
The billing department was unhelpful and hard to reach.,negative
Every nurse introduced themselves and explained what they were doing.,positive
The hospital was understaffed and it was obvious in the care quality.,negative
Follow-up calls after discharge were a nice and caring touch.,positive
I felt informed and involved in every decision about my treatment.,positive
The doctor spent barely two minutes with me during rounds.,negative
Staff always treated me with dignity and respect.,positive
The parking situation was frustrating and added to my stress.,negative
Pain management was handled very well by the nursing team.,positive
My test results took days and nobody proactively updated me.,negative
The facility was modern and well-equipped for my procedure.,positive
Discharge was rushed and I left without fully understanding my care plan.,negative
The chaplain and social worker provided wonderful emotional support.,positive
Restrooms in the waiting area were dirty and poorly maintained.,negative
I appreciated how the team collaborated and communicated openly.,positive
Some staff seemed burned out and barely acknowledged patients.,negative
"Overall a very positive experience, I would recommend this hospital.",positive
The registration process was smooth and the staff were welcoming.,positive
I was ignored after surgery and had to ask repeatedly for assistance.,negative
The specialist explained my diagnosis in a way I could understand.,positive
Long waits between tests with no explanation of what was happening.,negative
Nurses responded quickly to my concerns and were very professional.,positive
My room was not cleaned for two days which was unacceptable.,negative
The physical therapy team was motivating and helped my recovery.,positive
Staff communication with my family was excellent during my surgery.,positive
The hospital lost my lab results and it delayed my treatment significantly.,negative
I felt safe and well monitored throughout my overnight stay.,positive
The emergency department was chaotic and disorganized.,negative
Everyone from admissions to discharge was professional and caring.,positive
My pain was consistently undertreated despite repeated requests.,negative
The pre-surgery preparation team was thorough and reassuring.,positive
No one explained the side effects of my new prescriptions.,negative
The cardiac care unit staff were exceptional in every way.,positive
I waited three hours past my scheduled procedure time with no updates.,negative
The volunteer staff were friendly and made waiting much easier.,positive
Night nurses were noisy and constantly woke me from needed sleep.,negative
I would absolutely return to this hospital for any future care needs.,positive
